comments,professor_name,school_name,department_name,gender,sentences
"Explains the rather difficult readings very well and is always open to student input. A couple of papers, quizzes, and an exam. Overall I enjoyed the class",Seth  Ovadia,Towson University,Sociology department,male,"['Explains the rather difficult readings very well and is always open to student input.', 'A couple of papers, quizzes, and an exam.', 'Overall I enjoyed the class']"
Nice guy. Very excited about class but boring at times.,Seth  Ovadia,Towson University,Sociology department,male,"['Nice guy.', 'Very excited about class but boring at times.']"
"This class was so boring!!! He has very distracting mannerisms...he will say ""ya know"" 25 times every 5 min.",Seth  Ovadia,Towson University,Sociology department,male,"['This class was so boring!', '!', '!', 'He has very distracting mannerisms...', 'he will say ""ya know"" 25 times every 5 min.']"
"2 papers, 2 exams...pretty easy class and he\'s a nice guy and knows what he\'s talking about.",Seth  Ovadia,Towson University,Sociology department,male,"['2 papers, 2 exams...', ""pretty easy class and he\\'s a nice guy and knows what he\\'s talking about.""]"
Sounds like it could be a good class until you get there. The way he teaches is terrible.,Seth  Ovadia,Towson University,Sociology department,male,"['Sounds like it could be a good class until you get there.', 'The way he teaches is terrible.']"
could be a very interesting class but its not at all. sooo boring. he stutters a lot and doesnt give good feedback to students comments and questions in class,Seth  Ovadia,Towson University,Sociology department,male,"['could be a very interesting class but its not at all.', 'sooo boring.', 'he stutters a lot and doesnt give good feedback to students comments and questions in class']"
No Comments,Liz  Stanley,William Jessup University,Music department,male,['No Comments']
Liz loves her students. The school would not be the same without her smile or her Beethoven head.,Liz  Stanley,William Jessup University,Music department,male,"['Liz loves her students.', 'The school would not be the same without her smile or her Beethoven head.']"
Liz is so sweet!,Liz  Stanley,William Jessup University,Music department,male,['Liz is so sweet!']
"I took PSYCH 337 Comm. & Society w/ Prof. Milburn (online). The material he provides is very interesting and I really enjoyed the class. He is extremely responsive if you ask him anything which is great. The class is very straight-forward and what is expected of you is laid out clearly. The work load is fair, & if you do the work you will do well.",Michael  Milburn,University of Massachusetts - Boston,Psychology department,male,"['I took PSYCH 337 Comm.', '& Society w/ Prof.', 'Milburn (online).', 'The material he provides is very interesting and I really enjoyed the class.', 'He is extremely responsive if you ask him anything which is great.', 'The class is very straight-forward and what is expected of you is laid out clearly.', 'The work load is fair, & if you do the work you will do well.']"
"This class was online and it wasn\'t too bad. My only complaint is the final exam, it is ridiculous and unlike other papers I have had to write before, did not enjoy that at all.",Michael  Milburn,University of Massachusetts - Boston,Psychology department,male,"[""This class was online and it wasn\\'t too bad."", 'My only complaint is the final exam, it is ridiculous and unlike other papers I have had to write before, did not enjoy that at all.']"
"He was very accessible, always gave feedback and answered very fast. I took this course online so I\'m not sure how entertaining he is, but I did not have a problem with this course even though it was my first online course. You have to submit online discussions every single week, grading for all assignments is clear.",Michael  Milburn,University of Massachusetts - Boston,Psychology department,male,"['He was very accessible, always gave feedback and answered very fast.', ""I took this course online so I\\'m not sure how entertaining he is, but I did not have a problem with this course even though it was my first online course."", 'You have to submit online discussions every single week, grading for all assignments is clear.']"
"Easy A, the difficult part is willing yourself to go to class. Interesting topics but he makes it boring. The papers are challenging as it is impossible to write a perfect paper in 2 pages double spaced while cramming in 8+ studies. They need to be longer, which I cant believe I would want. I would not take him again as I found it hard not to skip.",Michael  Milburn,University of Massachusetts - Boston,Psychology department,male,"['Easy A, the difficult part is willing yourself to go to class.', 'Interesting topics but he makes it boring.', 'The papers are challenging as it is impossible to write a perfect paper in 2 pages double spaced while cramming in 8+ studies.', 'They need to be longer, which I cant believe I would want.', 'I would not take him again as I found it hard not to skip.']"
"He knows the material, but presents is in a dry manner. The book is interesting, but not necessary to get. Most readings are online. Attendance is taken, and could help boost grade. Papers are worth small percentages, tests worth more. Do the online practice tests (read correct answers) and you\'ll do well. TA is helpful.",Michael  Milburn,University of Massachusetts - Boston,Psychology department,male,"['He knows the material, but presents is in a dry manner.', 'The book is interesting, but not necessary to get.', 'Most readings are online.', 'Attendance is taken, and could help boost grade.', 'Papers are worth small percentages, tests worth more.', ""Do the online practice tests (read correct answers) and you\\'ll do well."", 'TA is helpful.']"
I find this class to be a breeze. If you actually do the things he tells you to its an easy A or B. The multiple choice questions are literally word for word from practice tests and his papers are very short and clear cut. You follow the criteria and you get 100 like I managed to do. The lectures aren\'t very interesting though.,Michael  Milburn,University of Massachusetts - Boston,Psychology department,male,"['I find this class to be a breeze.', 'If you actually do the things he tells you to its an easy A or B. The multiple choice questions are literally word for word from practice tests and his papers are very short and clear cut.', 'You follow the criteria and you get 100 like I managed to do.', ""The lectures aren\\'t very interesting though.""]"
"Professor Milburn\'s lectures can at times be dry (due to his sometimes monotone voice), but if you are interested in psychology, there is no way to make this subject boring. His exams are easy, IF you do the online quizzes, which have all the answers in them. Most of the class got C\'s, but that\' due to poor work ethic, he provides the way to an A!",Michael  Milburn,University of Massachusetts - Boston,Psychology department,male,"[""Professor Milburn\\'s lectures can at times be dry (due to his sometimes monotone voice), but if you are interested in psychology, there is no way to make this subject boring."", 'His exams are easy, IF you do the online quizzes, which have all the answers in them.', ""Most of the class got C\\'s, but that\\' due to poor work ethic, he provides the way to an A!""]"
"This professor needs to retire now! I took his PSYCH 330 class and it was horrible! Boring lectures, confusing material, and not helpful! The tests are really hard! He gives you the Q&A ahead of time but expects you to memorize 250 multiple choice questions and only chooses 50 of them for the actual test! DONT TAKE !",Michael  Milburn,University of Massachusetts - Boston,Psychology department,male,"['This professor needs to retire now!', 'I took his PSYCH 330 class and it was horrible!', 'Boring lectures, confusing material, and not helpful!', 'The tests are really hard!', 'He gives you the Q&A ahead of time but expects you to memorize 250 multiple choice questions and only chooses 50 of them for the actual test!', 'DONT TAKE !']"
"WORST PROFESSOR EVER, hes def. on my worst professor list. This guy has so checked out of teaching its not even funny, hes close to retirement and it shows. He didnt even correct our papers he had his grad student do it so in reality we werent even writing for him because the grad student wasnt even correcting by his guidelines! He\'s so boring.",Michael  Milburn,University of Massachusetts - Boston,Psychology department,male,"['WORST PROFESSOR EVER, hes def.', 'on my worst professor list.', 'This guy has so checked out of teaching its not even funny, hes close to retirement and it shows.', 'He didnt even correct our papers he had his grad student do it so in reality we werent even writing for him because the grad student wasnt even correcting by his guidelines!', ""He\\'s so boring.""]"
I took Social Psych from him. Professor Milburn is one of the best professors that UMB has. I wish that I\'d have been able to take more of his classes and/or work with him more closely. Take a class of his efore he retires!,Michael  Milburn,University of Massachusetts - Boston,Psychology department,male,"['I took Social Psych from him.', 'Professor Milburn is one of the best professors that UMB has.', ""I wish that I\\'d have been able to take more of his classes and/or work with him more closely."", 'Take a class of his efore he retires!']"
"One of my favorite UMB professors. I wished he taught every psych course. He has one book that he uses which is his own book, and all of his other readings are online. You are required to attend classes, do the readings and do the mandatory posts for the readings every week, aside from that you do 1 paper, a midterm and a final.",Michael  Milburn,University of Massachusetts - Boston,Psychology department,male,"['One of my favorite UMB professors.', 'I wished he taught every psych course.', 'He has one book that he uses which is his own book, and all of his other readings are online.', 'You are required to attend classes, do the readings and do the mandatory posts for the readings every week, aside from that you do 1 paper, a midterm and a final.']"
"He just doesn\'t know how to teach to a room of 100 kids. He relies completely on unclear, vague PowerPoints, and his lectures are totally centered around describing studies. It\'s very boring and misleadingly difficult. Also, the tests are built around memorization. This class discouraged me from pursuing a topic that I had been very interested in.",Michael  Milburn,University of Massachusetts - Boston,Psychology department,male,"[""He just doesn\\'t know how to teach to a room of 100 kids."", 'He relies completely on unclear, vague PowerPoints, and his lectures are totally centered around describing studies.', ""It\\'s very boring and misleadingly difficult."", 'Also, the tests are built around memorization.', 'This class discouraged me from pursuing a topic that I had been very interested in.']"
Good prof although when he talks about all the studies it can be a real snooze. The papers are short and easy. His exams r easy too if you take the practice exams.,Michael  Milburn,University of Massachusetts - Boston,Psychology department,male,"['Good prof although when he talks about all the studies it can be a real snooze.', 'The papers are short and easy.', 'His exams r easy too if you take the practice exams.']"
"He is an amazing teacher. There was no group work this semester, unlike some of the other comments indicated. There were 3 tests, all multiple choice and short answer. The questions were given to us prior to the tests, it made studying for the tests a piece of cake. I liked the class, He was able to keep a classroom of 90 under control vry well",Michael  Milburn,University of Massachusetts - Boston,Psychology department,male,"['He is an amazing teacher.', 'There was no group work this semester, unlike some of the other comments indicated.', 'There were 3 tests, all multiple choice and short answer.', 'The questions were given to us prior to the tests, it made studying for the tests a piece of cake.', 'I liked the class, He was able to keep a classroom of 90 under control vry well']"
"He tries hard to explain study after study, but never quite puts everything into context. He is enthusiastic about Social Psychology on a personal level and that really shines through, but he is not a natural born teacher and that hurts his ability to pass on his enthusiasm effectively to the class. Always available for office hours. Very nice guy!",Michael  Milburn,University of Massachusetts - Boston,Psychology department,male,"['He tries hard to explain study after study, but never quite puts everything into context.', 'He is enthusiastic about Social Psychology on a personal level and that really shines through, but he is not a natural born teacher and that hurts his ability to pass on his enthusiasm effectively to the class.', 'Always available for office hours.', 'Very nice guy!']"
All powerpoints and lecturing. If you keep up with the reading it\'s not to bad. Has a few movies to watch through the semester. Tests kind of suck,Michael  Milburn,University of Massachusetts - Boston,Psychology department,male,"['All powerpoints and lecturing.', ""If you keep up with the reading it\\'s not to bad."", 'Has a few movies to watch through the semester.', 'Tests kind of suck']"
He is a very good professor. All you need to do is do the assignments and make sure you turn it in on time. The exams were multiple choice and short essay. The essay questions are usually given out a week before the actual test. I think if you do all the work you should be fine. Excellent professor and very helpful.,Michael  Milburn,University of Massachusetts - Boston,Psychology department,male,"['He is a very good professor.', 'All you need to do is do the assignments and make sure you turn it in on time.', 'The exams were multiple choice and short essay.', 'The essay questions are usually given out a week before the actual test.', 'I think if you do all the work you should be fine.', 'Excellent professor and very helpful.']"
"He does expect you to work. If social psych is your thing he is your proff. Not for the feint of heart, know that if your a loafer you will be spoted. Take other psych classes if you want to coast. But if your intending to go into this feild he goes the extra mile for you.",Michael  Milburn,University of Massachusetts - Boston,Psychology department,male,"['He does expect you to work.', 'If social psych is your thing he is your proff.', 'Not for the feint of heart, know that if your a loafer you will be spoted.', 'Take other psych classes if you want to coast.', 'But if your intending to go into this feild he goes the extra mile for you.']"
"I have had several courses with this professor and I think he is excellent. He is very demanding, has a lot of reading, but the tests are open book, so if you are paying attention in class and do your work, you will do very well. I like his lecturing style. He uses groups in his classes, but you can do the papers on your own if you want.",Michael  Milburn,University of Massachusetts - Boston,Psychology department,male,"['I have had several courses with this professor and I think he is excellent.', 'He is very demanding, has a lot of reading, but the tests are open book, so if you are paying attention in class and do your work, you will do very well.', 'I like his lecturing style.', 'He uses groups in his classes, but you can do the papers on your own if you want.']"
Mixed feelings on this professor. The work load was extremely difficult. I hated the group component of the course - it would have been very useful if our grade didn\'t depend on it. He\'s fair in his grading (aside from the group grade) and the subject matter is interesting. The lectures were a bit dry and he expects a great deal workwise.,Michael  Milburn,University of Massachusetts - Boston,Psychology department,male,"['Mixed feelings on this professor.', 'The work load was extremely difficult.', ""I hated the group component of the course - it would have been very useful if our grade didn\\'t depend on it."", ""He\\'s fair in his grading (aside from the group grade) and the subject matter is interesting."", 'The lectures were a bit dry and he expects a great deal workwise.']"
Dr. A is an amazing director. He will push you and others in the choir harder than any other director. You will learn how to make near flawless music for the purpose of delivering beautiful texts and messages. A once in a lifetime opportunity to work with a musician of his calibre.,Anton  Armstrong,St. Olaf College,Music department,male,"['Dr. A is an amazing director.', 'He will push you and others in the choir harder than any other director.', 'You will learn how to make near flawless music for the purpose of delivering beautiful texts and messages.', 'A once in a lifetime opportunity to work with a musician of his calibre.']"
"If you don\'t care about your voice and are okay with being exploited by your colleges PR department, then this choir is perfect for you! But really ... WAY overhyped. The straight-tone, blending, and the schedule are antithetical to a healthy singing technique.",Anton  Armstrong,St. Olaf College,Music department,male,"[""If you don\\'t care about your voice and are okay with being exploited by your colleges PR department, then this choir is perfect for you!"", 'But really ...', 'WAY overhyped.', 'The straight-tone, blending, and the schedule are antithetical to a healthy singing technique.']"
"Awful professor. Late more than not, doesn\'t actually teach, just tells stories about how great he is. Worst class I have taken at St. Olaf.",Anton  Armstrong,St. Olaf College,Music department,male,"['Awful professor.', ""Late more than not, doesn\\'t actually teach, just tells stories about how great he is."", 'Worst class I have taken at St. Olaf.']"
"I will acknowledge that he\'s a fantastic conductor. However, he is lacking as a professor. Perpetually late, and mostly talks about himself, rather than the subject matter.",Anton  Armstrong,St. Olaf College,Music department,male,"[""I will acknowledge that he\\'s a fantastic conductor."", 'However, he is lacking as a professor.', 'Perpetually late, and mostly talks about himself, rather than the subject matter.']"
"Dr. Armstrong is favorable to the students that are in the St. Olaf Choir. If you are not in choir, expect to get a lower grade. Plain and simple. Also, I don\'t feel that I learned as much as I could have because Dr. Armstrong was so busy telling the class anecdotes of how he\'s influenced people instead of actually teaching.",Anton  Armstrong,St. Olaf College,Music department,male,"['Dr. Armstrong is favorable to the students that are in the St. Olaf Choir.', 'If you are not in choir, expect to get a lower grade.', 'Plain and simple.', ""Also, I don\\'t feel that I learned as much as I could have because Dr. Armstrong was so busy telling the class anecdotes of how he\\'s influenced people instead of actually teaching.""]"
Amazing conductor! He truly loves what he does and is so inspiring to everyone in the choir. He truly cares about each and everyone of us.,Anton  Armstrong,St. Olaf College,Music department,male,"['Amazing conductor!', 'He truly loves what he does and is so inspiring to everyone in the choir.', 'He truly cares about each and everyone of us.']"
Very thoughtful guy. He is not very approachable but he loves each an every one of his students. Some people connect with him better than others. I always believed that we were very similar so I think this kept us from getting to know each other better. An honest hard working man,Anton  Armstrong,St. Olaf College,Music department,male,"['Very thoughtful guy.', 'He is not very approachable but he loves each an every one of his students.', 'Some people connect with him better than others.', 'I always believed that we were very similar so I think this kept us from getting to know each other better.', 'An honest hard working man']"
Pulls it all together,Anton  Armstrong,St. Olaf College,Music department,male,['Pulls it all together']
"He\'s unbelievable. So inspiring and heartfelt. His eyes just light up, and everyone sings their hearts out for him. An amazing experience.",Anton  Armstrong,St. Olaf College,Music department,male,"[""He\\'s unbelievable."", 'So inspiring and heartfelt.', 'His eyes just light up, and everyone sings their hearts out for him.', 'An amazing experience.']"
No Comments,Anton  Armstrong,St. Olaf College,Music department,male,['No Comments']
simply the best,Anton  Armstrong,St. Olaf College,Music department,male,['simply the best']
I am in Dr. A\'s Collegiate Chorale. It really does prepare its\' singers for sophomore year and beyond; hopefully for St. Olaf Choir! I love Dr. A\'s warmups and his choice of repertoire for fall semester. What a wonderful director!,Anton  Armstrong,St. Olaf College,Music department,male,"[""I am in Dr. A\\'s Collegiate Chorale."", ""It really does prepare its\\' singers for sophomore year and beyond; hopefully for St. Olaf Choir!"", ""I love Dr. A\\'s warmups and his choice of repertoire for fall semester."", 'What a wonderful director!']"
"I had Dr. A for conducting, and he was very clear and a great prof, but definitely challenging.",Anton  Armstrong,St. Olaf College,Music department,male,"['I had Dr. A for conducting, and he was very clear and a great prof, but definitely challenging.']"
"I had Dr. A for Collegiate Chorale (a non-audition choir) and he was so kind and encouraging to us, and helped us feel great, and as a result, sing well too",Anton  Armstrong,St. Olaf College,Music department,male,"['I had Dr. A for Collegiate Chorale (a non-audition choir) and he was so kind and encouraging to us, and helped us feel great, and as a result, sing well too']"
No Comments,Anton  Armstrong,St. Olaf College,Music department,male,['No Comments']
"Tersh is very smart, very well-read, and very enthusiastic about his subjects. He just has trouble getting his thoughts out. Most of his classes are lectured with him pacing, head down, with his hands clasped. He\'s funny and sweet, but he can be difficult to figure out.",Tersh  Palmer,Castleton University,English department,male,"['Tersh is very smart, very well-read, and very enthusiastic about his subjects.', 'He just has trouble getting his thoughts out.', 'Most of his classes are lectured with him pacing, head down, with his hands clasped.', ""He\\'s funny and sweet, but he can be difficult to figure out.""]"
"DIDNT LEARN OR DO ANYTHING.....LIKED SAYING THE WORD ""UM"" TOO MUCH",Tersh  Palmer,Castleton University,English department,male,"['DIDNT LEARN OR DO ANYTHING.....', 'LIKED SAYING THE WORD ""UM"" TOO MUCH']"
"He is extremely boring. He also is not clear as to what constitutes an A. On the positive side, we got out early on every speech day.",Tersh  Palmer,Castleton University,English department,male,"['He is extremely boring.', 'He also is not clear as to what constitutes an A. On the positive side, we got out early on every speech day.']"
"He has got to be be the most boring person I have ever come in contact with. All we did in class was comment on what we read the night before. I got a B- on every assignment, and ended up with an A?",Tersh  Palmer,Castleton University,English department,male,"['He has got to be be the most boring person I have ever come in contact with.', 'All we did in class was comment on what we read the night before.', 'I got a B- on every assignment, and ended up with an A?']"
I got A\'s on everything in this class and still ended up with a B,Tersh  Palmer,Castleton University,English department,male,"[""I got A\\'s on everything in this class and still ended up with a B""]"
No Comments,Tersh  Palmer,Castleton University,English department,male,['No Comments']
"Excellent Prof. Made uninteresting material quite interesting. VERY helpful, get her while she\'s still here.",Tanya  Cassidy,University of Windsor,Sociology department,mostly_female,"['Excellent Prof.', 'Made uninteresting material quite interesting.', ""VERY helpful, get her while she\\'s still here.""]"
She is super friendly and is very easy going with great lectures. She is very approachable for help and the class isn\'t too difficult as long as you follow her reviews for the exams. She is probably my favourite professor so far so I would definitely recommend taking this class! Overall a great class and prof!,Tanya  Cassidy,University of Windsor,Sociology department,mostly_female,"['She is super friendly and is very easy going with great lectures.', ""She is very approachable for help and the class isn\\'t too difficult as long as you follow her reviews for the exams."", 'She is probably my favourite professor so far so I would definitely recommend taking this class!', 'Overall a great class and prof!']"
"Tanya is one of my favorite professors at the university. Her lectures are interesting, and she is always pleased to help students. Shes just a very sweet women and I would definitely recommend taking a class with her. Her classes are not the easiest but if you attend class and do most of the readings you\'ll do great.",Tanya  Cassidy,University of Windsor,Sociology department,mostly_female,"['Tanya is one of my favorite professors at the university.', 'Her lectures are interesting, and she is always pleased to help students.', 'Shes just a very sweet women and I would definitely recommend taking a class with her.', ""Her classes are not the easiest but if you attend class and do most of the readings you\\'ll do great.""]"
"summer session, If you go to class and do readings you will do well. She gave out 12 marks just for attendance. who can complain about that?",Tanya  Cassidy,University of Windsor,Sociology department,mostly_female,"['summer session, If you go to class and do readings you will do well.', 'She gave out 12 marks just for attendance.', 'who can complain about that?']"
"Very understanding professor. I missed her greatly during winter term. I hope she and her family are doing well. She helps students greatly, and she is very approachable during office hours.",Tanya  Cassidy,University of Windsor,Sociology department,mostly_female,"['Very understanding professor.', 'I missed her greatly during winter term.', 'I hope she and her family are doing well.', 'She helps students greatly, and she is very approachable during office hours.']"
"She was VERY helpful and VERY concerned about her students, she was greatly missed in the winter semester and I truly hope to have her as a professor again in the future. I HIGHLY recommend her.",Tanya  Cassidy,University of Windsor,Sociology department,mostly_female,"['She was VERY helpful and VERY concerned about her students, she was greatly missed in the winter semester and I truly hope to have her as a professor again in the future.', 'I HIGHLY recommend her.']"
a great professor!,Tanya  Cassidy,University of Windsor,Sociology department,mostly_female,['a great professor!']
"She is very nice with everybody. I like her, she is understendable.",Tanya  Cassidy,University of Windsor,Sociology department,mostly_female,"['She is very nice with everybody.', 'I like her, she is understendable.']"
"I think making us go to the cemetery and ""observe"" froze my ass off, not to mention creeped me out. I spent hours on her assignments when I could have taken a much easier course. She is approachable and nice, just thinks that her class is our on",Tanya  Cassidy,University of Windsor,Sociology department,mostly_female,"['I think making us go to the cemetery and ""observe"" froze my ass off, not to mention creeped me out.', 'I spent hours on her assignments when I could have taken a much easier course.', 'She is approachable and nice, just thinks that her class is our on']"
"For a second year sociology course I thought she asked for quite a bit more than any other soc class I had taken. Because so many people complained, she made the final super easy, but her teaching style is often difficult to follow.",Tanya  Cassidy,University of Windsor,Sociology department,mostly_female,"['For a second year sociology course I thought she asked for quite a bit more than any other soc class I had taken.', 'Because so many people complained, she made the final super easy, but her teaching style is often difficult to follow.']"
Very Brutal Expects too much!!!,Tanya  Cassidy,University of Windsor,Sociology department,mostly_female,"['Very Brutal Expects too much!', '!', '!']"
"Very nice prof, she is very reachable and helpful, very good class notes all online. Both courses were interesting. She is one of the hard working prof",Tanya  Cassidy,University of Windsor,Sociology department,mostly_female,"['Very nice prof, she is very reachable and helpful, very good class notes all online.', 'Both courses were interesting.', 'She is one of the hard working prof']"
"Nice person...Soc. of everyday life was real confusing and most of the time I had no clue what she was talking about in class. Would like to have her again, she tried her best.",Tanya  Cassidy,University of Windsor,Sociology department,mostly_female,"['Nice person...', 'Soc.', 'of everyday life was real confusing and most of the time I had no clue what she was talking about in class.', 'Would like to have her again, she tried her best.']"
"Wonderful prof who really cares about her students. Notices absences in dedicated students and genuinely wants to help, whether it\'s school related or not. Love her lots. Made my last year better.",Tanya  Cassidy,University of Windsor,Sociology department,mostly_female,"['Wonderful prof who really cares about her students.', ""Notices absences in dedicated students and genuinely wants to help, whether it\\'s school related or not."", 'Love her lots.', 'Made my last year better.']"
"Great teacher, very down to earth. GO TO CLASS!",Tanya  Cassidy,University of Windsor,Sociology department,mostly_female,"['Great teacher, very down to earth.', 'GO TO CLASS!']"
"I don\'t know what you are talking about. This is the first time she teaches here and, so far, she is going out of her way to help the students. She cares and she is awsome!",Tanya  Cassidy,University of Windsor,Sociology department,mostly_female,"[""I don\\'t know what you are talking about."", 'This is the first time she teaches here and, so far, she is going out of her way to help the students.', 'She cares and she is awsome!']"
"GOOD LUCK.... IT\'S BRUTAL, YOU\'LL THINK IT\'S GOING OKAY BUT JUST WAIT UNTIL THE FINAL... EXPECTS TOO MUCH",Tanya  Cassidy,University of Windsor,Sociology department,mostly_female,"['GOOD LUCK....', ""IT\\'S BRUTAL, YOU\\'LL THINK IT\\'S GOING OKAY BUT JUST WAIT UNTIL THE FINAL..."", 'EXPECTS TOO MUCH']"
Awesome course and an awesome teacher totally reccomend her to anyone in Sociology,Tanya  Cassidy,University of Windsor,Sociology department,mostly_female,['Awesome course and an awesome teacher totally reccomend her to anyone in Sociology']
"Very clear lectures, she is amazing!!!!",Tanya  Cassidy,University of Windsor,Sociology department,mostly_female,"['Very clear lectures, she is amazing!', '!', '!', '!']"
Mrs. Martin is approachable and supportive if you are struggling or challenged by utilizing computer systems.,Valerie  Martin,Immaculata University,Mathematics department,male,['Mrs. Martin is approachable and supportive if you are struggling or challenged by utilizing computer systems.']
A useful course for those who are preparing to find a spot in the marketplace.Students learn to navigate through real world current & relevant scenarios.The course gets a boost with the inclusion of periodic lectures & talks with industry gurus.With so much happening in the cyberspace the course couldn\'t have been introduced at a better time,Valerie  Martin,Immaculata University,Mathematics department,male,"['A useful course for those who are preparing to find a spot in the marketplace.', 'Students learn to navigate through real world current & relevant scenarios.', 'The course gets a boost with the inclusion of periodic lectures & talks with industry gurus.', ""With so much happening in the cyberspace the course couldn\\'t have been introduced at a better time""]"
"She is a very nice, easy teacher. She will help you and give you time to get projects done. However, there was no method to her madness as far as how projects were weighted. But didnt really natter because as long as you did it fairly well, you got an A.",Valerie  Martin,Immaculata University,Mathematics department,male,"['She is a very nice, easy teacher.', 'She will help you and give you time to get projects done.', 'However, there was no method to her madness as far as how projects were weighted.', 'But didnt really natter because as long as you did it fairly well, you got an A.']"
"Mrs. Martin was by far one of the most engaging, most dedicated, and most valuable teachers that I\'ve ever had, and I have had some very incredible professors. Any student that goes through her classroom is the better for doing so.",Valerie  Martin,Immaculata University,Mathematics department,male,"[""Mrs. Martin was by far one of the most engaging, most dedicated, and most valuable teachers that I\\'ve ever had, and I have had some very incredible professors."", 'Any student that goes through her classroom is the better for doing so.']"
very fun class. i definitely recommend it.,Valerie  Martin,Immaculata University,Mathematics department,male,"['very fun class.', 'i definitely recommend it.']"
"She works with anyone who needs help. Very friendly, corny jokes but has a sense of humor. Not too strict when it comes to grading, show effort and she will take notice of this. BTW: she is not hot.",Valerie  Martin,Immaculata University,Mathematics department,male,"['She works with anyone who needs help.', 'Very friendly, corny jokes but has a sense of humor.', 'Not too strict when it comes to grading, show effort and she will take notice of this.', 'BTW: she is not hot.']"
No Comments,Valerie  Martin,Immaculata University,Mathematics department,male,['No Comments']
She has a sense of humor and moves at a slow pace for the people who don\'t understand.,Valerie  Martin,Immaculata University,Mathematics department,male,"[""She has a sense of humor and moves at a slow pace for the people who don\\'t understand.""]"
No Comments,Valerie  Martin,Immaculata University,Mathematics department,male,['No Comments']
"He tells jokes yes, and tells stories not connected with an educational experience, and kaboom classtime is over with. I believe this is his goal (filler) to accomplish another class. Where is the meat? Where is an education dept. at Immac?",Thomas  Rooney,Immaculata University,Education department,male,"['He tells jokes yes, and tells stories not connected with an educational experience, and kaboom classtime is over with.', 'I believe this is his goal (filler) to accomplish another class.', 'Where is the meat?', 'Where is an education dept.', 'at Immac?']"
"Great guy, fun class, lots of practical information",Thomas  Rooney,Immaculata University,Education department,male,"['Great guy, fun class, lots of practical information']"
Very funny man. He offered alot of great tips on teaching. I would recommend him.,Thomas  Rooney,Immaculata University,Education department,male,"['Very funny man.', 'He offered alot of great tips on teaching.', 'I would recommend him.']"
No Comments,Thomas  Rooney,Immaculata University,Education department,male,['No Comments']
excellent teacher. she knows what she is talking about and she doesn\'t make anyone feel dumb when they ask stupid questions.,B  Hester,Volunteer State Community College,Accounting department,female,"['excellent teacher.', ""she knows what she is talking about and she doesn\\'t make anyone feel dumb when they ask stupid questions.""]"
No Comments,B  Hester,Volunteer State Community College,Accounting department,female,['No Comments']
I hate this class with a passion save yourself don\'t take it!,B  Hester,Volunteer State Community College,Accounting department,female,"[""I hate this class with a passion save yourself don\\'t take it!""]"
"She seemed to know what she was talking about, just not how to explain it. With my class, she was pretty rude to more than one person, and in front of the class. One classmate left the class because Mrs. Hester told her there was ""NO REASON"" for homework not to be done and Mrs. Hester proceeded to say ""does anyone else want to leave class?"" It may just be me though everyone else seems to have a good opinion over her.",B  Hester,Volunteer State Community College,Accounting department,female,"['She seemed to know what she was talking about, just not how to explain it.', 'With my class, she was pretty rude to more than one person, and in front of the class.', 'One classmate left the class because Mrs. Hester told her there was ""NO REASON"" for homework not to be done and Mrs. Hester proceeded to say ""does anyone else want to leave class""?', 'It may just be me though everyone else seems to have a good opinion over her.']"
"if you want to learn about accounting then this is the professor to learn from..She is fair minded, keeps you moving along, and makes sure to stop when explanations are not clear...ask and she helps...great class",B  Hester,Volunteer State Community College,Accounting department,female,"['if you want to learn about accounting then this is the professor to learn from..', 'She is fair minded, keeps you moving along, and makes sure to stop when explanations are not clear...', 'ask and she helps...', 'great class']"
Mrs. Hester is an excellent professor. She is always willing to help and does a good job shining the light on a difficult subject.,B  Hester,Volunteer State Community College,Accounting department,female,"['Mrs. Hester is an excellent professor.', 'She is always willing to help and does a good job shining the light on a difficult subject.']"
"video course, but was helpful and nice. Tests were not easy, but either is accounting",B  Hester,Volunteer State Community College,Accounting department,female,"['video course, but was helpful and nice.', 'Tests were not easy, but either is accounting']"
"Mrs. Hester is a superb teacher. Not only is she knowledgeable in the subject area, but she is also able to teach it to others - not a talent all accounting teacher possess! Would highly recommend to anyone who is serious about learning.",B  Hester,Volunteer State Community College,Accounting department,female,"['Mrs. Hester is a superb teacher.', 'Not only is she knowledgeable in the subject area, but she is also able to teach it to others - not a talent all accounting teacher possess!', 'Would highly recommend to anyone who is serious about learning.']"
"Wonderful...really captivating and interesting, and hot!",Vignault  Luc,Universite de Moncton,Philosophy department,male,"['Wonderful...', 'really captivating and interesting, and hot!']"
"Bon prof, mais ne prend pas en consideration que nous ne sommes pas tous des philosophes.",Vignault  Luc,Universite de Moncton,Philosophy department,male,"['Bon prof, mais ne prend pas en consideration que nous ne sommes pas tous des philosophes.']"
"Bon professeur, tres interessant.",Vignault  Luc,Universite de Moncton,Philosophy department,male,"['Bon professeur, tres interessant.']"
No Comments,Vignault  Luc,Universite de Moncton,Philosophy department,male,['No Comments']
